0,162,150
162,165,145
165,168,140
168,171,135
171,174,130
174,177,125
177,181,120
181,185,115
185,189,110
189,193,105
193,197,100
197,202,95
202,207,90
207,214,85
214,222,80
222,227,78
227,232,76
232,237,74
237,242,72
242,247,70
247,252,68
252,257,66
257,262,64
262,267,62
267,272,60
272,292,50
292,312,40
312,332,30
332,352,20
352,372,10
372,1000000,0
